4355252,0,2
4355264,1,3
4355228,0,4
4355239,0,1
4355252,0,2
4355264,1,3
4355228,0,4
4355239,0,1
4355252,0,2
4355264,0,3
4355275,1,2
4354685,0,4
4354701,1,2
4354727,0,2
4354733,0,1
4354751,1,4
4355187,0,1
4355200,0,2
4355228,0,6
4355239,0,1
4355252,0,2
4355264,1,3
4355228,0,4
4355239,0,1
4355252,0,2
4355264,1,3
4355228,0,4
4355239,0,1
4355252,0,2
4355264,1,3
4355228,0,4
4355239,0,1
4355252,0,2
4355264,0,3
4355275,1,2
4354685,0,4
4354701,1,2
4354727,0,2
4354733,0,1
4354751,1,4
4355187,0,1
4355200,0,2
4355228,0,6
4355239,0,1
4355252,0,2
4355264,1,3
4355228,0,4
4355239,0,1
4355252,0,2
4355264,1,3
4355228,0,4
4355239,0,1
4355252,0,2
4355264,1,3
4355228,0,4
4355239,0,1
4355252,1,2
4355386,1,3
4355275,1,1
4354685,0,4
4354701,0,2
4354714,1,2
4354685,0,4
4354701,0,2
4354714,1,2
4354685,0,4
4354701,1,2
4354727,1,2
4354641,1,2
4355083,0,1
4355092,1,1
4354685,0,4
4354701,1,2
4354727,1,2
4354641,1,2
4355083,0,1
4355092,1,1
4354685,0,4
4354701,1,2
4354727,1,2
4354641,1,2
4355083,0,1
4355092,1,1
4354685,0,4
4354701,1,2
4354727,1,2
4354641,1,2
4355083,0,1
4355092,1,1
4354685,1,4
4354875,1,4
4354624,1,4
4354701,1,2
4354727,1,2
4354641,1,2
4355083,0,1
4355092,1,1
4354685,0,4
4354701,1,2
4354727,1,2
4354641,1,2
4355083,0,1
4355092,1,1
4354685,0,4
4354701,1,2
4354727,0,2
4354733,0,1
4354751,0,4
4354760,0,1
4354791,1,6
4354831,1,2
4354791,0,4
4354804,0,2
4354817,1,2
4355368,1,1
4354685,0,4
4354701,1,2
4354727,0,2
4354733,0,1
4354751,0,4
4354760,0,1
4354791,1,6
4354831,1,2
4354791,0,4
4354804,1,2
4354831,1,2
4354791,0,4
4354804,1,2
4354831,1,2
4354791,0,4
4354804,1,2
4354831,0,2
4354846,1,4
4354701,1,2
4354727,0,2
4354733,0,1
4354751,0,4
4354760,0,1
4354791,1,6
4354831,1,2
4354791,0,4
4354804,1,2
4354831,1,2
4354791,0,4
4354804,1,2
4354831,1,2
4354791,0,4
4354804,0,2
4354817,0,2
4354831,0,2
4354846,1,4
4354701,1,2
4354727,0,2
4354733,0,1
4354751,1,4
4355187,0,1
4355200,0,2
4355228,1,6
4355264,1,3
4355228,0,4
4355239,0,1
4355252,1,2
4355386,1,3
4355275,1,1
4354685,0,4
4354701,1,2
4354727,0,2
4354733,0,1
4354751,1,4
4355187,0,1
4355200,0,2
4355228,1,6
4355264,1,3
4355228,0,4
4355239,0,1
4355252,0,2
4355264,1,3
4355228,0,4
4355239,0,1
4355252,0,2
4355264,1,3
4355228,0,4
4355239,0,1
4355252,0,2
4355264,0,3
4355275,1,2
4354685,0,4
4354701,1,2
4354727,0,2
4354733,0,1
4354751,1,4
4355187,0,1
4355200,0,2
4355228,1,6
4355264,1,3
4355228,0,4
4355239,0,1
4355252,0,2
4355264,1,3
4355228,0,4
4355239,1,1
4355264,1,3
4355228,0,4
4355239,0,1
4355252,0,2
4355264,0,3
4355275,1,2
4354685,0,4
4354701,1,2
4354727,0,2
4354733,0,1
4354751,1,4
4355187,0,1
4355200,0,2
4355228,1,6
4355264,1,3
4355228,0,4
4355239,0,1
4355252,0,2
4355264,1,3
4355228,0,4
4355239,0,1
4355252,0,2
4355264,1,3
4355228,0,4
4355239,0,1
4355252,0,2
4355264,0,3
4355275,1,2
4354685,0,4
4354701,1,2
4354727,0,2
4354733,0,1
4354751,1,4
4355187,0,1
4355200,0,2
4355228,1,6
4355264,1,3
4355228,0,4
4355239,0,1
4355252,0,2
4355264,1,3
4355228,0,4
4355239,0,1
4355252,0,2
4355264,1,3
4355228,0,4
4355239,0,1
4355252,0,2
4355264,0,3
4355275,1,2
4354685,0,4
4354701,1,2
